College Name,Location,Rating,Reviews,NIRF Ranking,College URL
"Shiv Nadar University, Greater Noida",N/A,4.6/5,100 Reviews,NIRF Ranking: 95,https://www.careers360.com/university/shiv-nadar-university-greater-noida/phd-chemical-engineering-course
"Sri Ramachandra Institute of Higher Education and Research, Chennai",N/A,4.3/5,3 Reviews,NIRF Ranking: 96,https://www.careers360.com/university/sri-ramachandra-institute-of-higher-education-and-research-chennai/msc-clinical-nutrition-course
"ANU Guntur - Acharya Nagarjuna University, Guntur",N/A,4.8/5,94 Reviews,NIRF Ranking: 97,https://www.careers360.com/colleges/medarametla-anjamma-mastan-rao-pg-college-guntur/mca-course
"TISS Mumbai - Tata Institute of Social Sciences, Mumbai",N/A,4.7/5,82 Reviews,NIRF Ranking: 98,https://www.careers360.com/university/tata-institute-of-social-sciences-mumbai/phd-social-work-course
AIIMS Patna - All India Institute of Medical Sciences Patna,N/A,4.8/5,2 Reviews,NIRF Ranking: 99,https://www.careers360.com/university/all-india-institute-of-medical-sciences-patna/ms-obstetrics-and-gynaecology-course
"Periyar University - Periyar University, Salem",N/A,4.4/5,13 Reviews,NIRF Ranking: 100,https://www.careers360.com/colleges/vivekananda-college-of-arts-and-sciences-tiruchengode/mca-course
"Ashoka University, Sonepat",N/A,4.5/5,2 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/ashoka-university-sonepat/msc-biology-course
"Banasthali Vidyapith, Banasthali",N/A,4.5/5,585 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/banasthali-vidyapith-banasthali/mca-course
"Bangalore University - Bangalore University, Bangalore",N/A,4.4/5,18 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/presidency-college-bangalore/mca-course
"BIT Mesra - Birla Institute of Technology, Mesra",N/A,4.2/5,215 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/birla-institute-of-technology-mesra/mca-course
"Central University of Punjab, Bathinda",N/A,4.6/5,37 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/central-university-of-punjab-bathinda/msc-physics-course
"Central University of Tamil Nadu, Thiruvarur",N/A,4.4/5,6 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/central-university-of-tamil-nadu-thiruvarur/msc-geography-course
"CCSHAU Hisar - Chaudhary Charan Singh Haryana Agricultural University, Hisar",N/A,4.4/5,18 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/chaudhary-charan-singh-haryana-agricultural-university-hisar/msc-genetics-and-plant-breeding-course
"Chettinad Academy of Research and Education, Kelambakkam",N/A,4.0/5,3 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/chettinad-hospital-and-research-institute-kelambakkam/ms-general-surgery-course
"Chitkara University - Chitkara University, Patiala",N/A,4.2/5,313 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/chitkara-college-of-pharmacy-rajpura/mpharma-pharmaceutics-course
"Dibrugarh University, Dibrugarh",N/A,4.1/5,13 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/colleges/north-eastern-regional-institute-of-management-guwahati/mca-course
